State,Country,Year,Migrants
WA,South Africa,2024,2460
WA,Iran,2024,520
WA,Ireland,2024,2420
WA,Hong Kong,2024,410
TAS,India,2024,670
TAS,China,2024,140
TAS,New Zealand,2024,100
TAS,Philippines,2024,270
TAS,Nepal,2024,380
TAS,Sri Lanka,2024,240
TAS,Bangladesh,2024,340
TAS,Pakistan,2024,220
TAS,Vietnam,2024,120
TAS,Indonesia,2024,70
TAS,Afghanistan,2024,90
TAS,South Africa,2024,130
TAS,Iran,2024,70
TAS,Ireland,2024,30
TAS,Hong Kong,2024,40
NT,India,2024,480
NT,China,2024,130
NT,New Zealand,2024,200
NT,Philippines,2024,450
NT,Nepal,2024,420
NT,Sri Lanka,2024,140
NT,Bangladesh,2024,260
NT,Pakistan,2024,140
NT,Vietnam,2024,180
NT,Indonesia,2024,260
NT,Afghanistan,2024,20
NT,South Africa,2024,110
NT,Iran,2024,10
NT,Ireland,2024,80
NT,Hong Kong,2024,40
ACT,India,2024,1190
ACT,China,2024,1110
ACT,New Zealand,2024,150
ACT,Philippines,2024,340
ACT,Nepal,2024,430
ACT,Sri Lanka,2024,200
ACT,Bangladesh,2024,150
ACT,Pakistan,2024,280
ACT,Vietnam,2024,220
ACT,Indonesia,2024,70
ACT,Afghanistan,2024,100
ACT,South Africa,2024,110
ACT,Iran,2024,110
ACT,Ireland,2024,20
ACT,Hong Kong,2024,70
NSW,India,2023,27620
NSW,China,2023,24610
NSW,New Zealand,2023,2080
NSW,Philippines,2023,14110
NSW,Nepal,2023,16870
NSW,Sri Lanka,2023,2090
NSW,Bangladesh,2023,3070
NSW,Pakistan,2023,6780
NSW,Vietnam,2023,6260
NSW,Indonesia,2023,5910
NSW,Afghanistan,2023,1530
NSW,South Africa,2023,2180
NSW,Iran,2023,1960
NSW,Ireland,2023,4100
NSW,Hong Kong,2023,2400
VIC,India,2023,36480
VIC,China,2023,19530
VIC,New Zealand,2023,4870
VIC,Philippines,2023,10840
VIC,Nepal,2023,4450
VIC,Sri Lanka,2023,7300
VIC,Bangladesh,2023,1330
VIC,Pakistan,2023,5340
VIC,Vietnam,2023,7570
VIC,Indonesia,2023,3490
VIC,Afghanistan,2023,3060
VIC,South Africa,2023,1450
VIC,Iran,2023,2040
VIC,Ireland,2023,2500
VIC,Hong Kong,2023,2670
QLD,India,2023,11340
QLD,China,2023,7520
QLD,New Zealand,2023,5250
QLD,Philippines,2023,8200
QLD,Nepal,2023,1770
QLD,Sri Lanka,2023,1560
QLD,Bangladesh,2023,430
QLD,Pakistan,2023,1140
QLD,Vietnam,2023,1670
QLD,Indonesia,2023,1280
QLD,Afghanistan,2023,630
QLD,South Africa,2023,2420
QLD,Iran,2023,770
QLD,Ireland,2023,870
QLD,Hong Kong,2023,1250
SA,India,2023,8070
SA,China,2023,3050
SA,New Zealand,2023,320
SA,Philippines,2023,2090
SA,Nepal,2023,1410
SA,Sri Lanka,2023,1060
SA,Bangladesh,2023,370
SA,Pakistan,2023,760
SA,Vietnam,2023,1350
SA,Indonesia,2023,580
SA,Afghanistan,2023,750
SA,South Africa,2023,630
SA,Iran,2023,420
SA,Ireland,2023,50
SA,Hong Kong,2023,660
WA,India,2023,8150
WA,China,2023,2540
WA,New Zealand,2023,3260
WA,Philippines,2023,6610
WA,Nepal,2023,1710
WA,Sri Lanka,2023,1350
WA,Bangladesh,2023,730
WA,Pakistan,2023,2730
WA,Vietnam,2023,1320
WA,Indonesia,2023,1320
WA,Afghanistan,2023,530
WA,South Africa,2023,2210
WA,Iran,2023,440
WA,Ireland,2023,1980
WA,Hong Kong,2023,660
TAS,India,2023,940
TAS,China,2023,260
TAS,New Zealand,2023,30
TAS,Philippines,2023,320
TAS,Nepal,2023,530
TAS,Sri Lanka,2023,240
TAS,Bangladesh,2023,180
TAS,Pakistan,2023,230
TAS,Vietnam,2023,170
TAS,Indonesia,2023,90
TAS,Afghanistan,2023,100
TAS,South Africa,2023,110
TAS,Iran,2023,70
TAS,Ireland,2023,20
TAS,Hong Kong,2023,60
NT,India,2023,630
NT,China,2023,190
NT,New Zealand,2023,40
NT,Philippines,2023,650
NT,Nepal,2023,470
NT,Sri Lanka,2023,200
NT,Bangladesh,2023,160
NT,Pakistan,2023,300
NT,Vietnam,2023,240
NT,Indonesia,2023,270
NT,Afghanistan,2023,0
NT,South Africa,2023,70
NT,Iran,2023,20
NT,Ireland,2023,110
NT,Hong Kong,2023,110
ACT,India,2023,1800
ACT,China,2023,1860
ACT,New Zealand,2023,110
ACT,Philippines,2023,500
ACT,Nepal,2023,810
ACT,Sri Lanka,2023,200
ACT,Bangladesh,2023,130
ACT,Pakistan,2023,360
ACT,Vietnam,2023,220
ACT,Indonesia,2023,150
ACT,Afghanistan,2023,100
ACT,South Africa,2023,100
ACT,Iran,2023,90
ACT,Ireland,2023,10
ACT,Hong Kong,2023,100
NSW,India,2022,13820
NSW,China,2022,5670
NSW,New Zealand,2022,380
NSW,Philippines,2022,3990
NSW,Nepal,2022,14870
NSW,Sri Lanka,2022,830
NSW,Bangladesh,2022,1320
NSW,Pakistan,2022,2830
NSW,Vietnam,2022,2600
NSW,Indonesia,2022,1630
NSW,Afghanistan,2022,1790
NSW,South Africa,2022,1230
NSW,Iran,2022,1050
NSW,Ireland,2022,-120
NSW,Hong Kong,2022,2990
VIC,India,2022,18400
VIC,China,2022,5570
VIC,New Zealand,2022,1750
VIC,Philippines,2022,3320
VIC,Nepal,2022,2920
VIC,Sri Lanka,2022,3390
VIC,Bangladesh,2022,880
VIC,Pakistan,2022,2740
VIC,Vietnam,2022,3420
VIC,Indonesia,2022,1910
VIC,Afghanistan,2022,2840
VIC,South Africa,2022,780
VIC,Iran,2022,1510
VIC,Ireland,2022,-90
VIC,Hong Kong,2022,2480
QLD,India,2022,3720
QLD,China,2022,1400
QLD,New Zealand,2022,2200
QLD,Philippines,2022,2330
QLD,Nepal,2022,980
QLD,Sri Lanka,2022,630
QLD,Bangladesh,2022,190
QLD,Pakistan,2022,310
QLD,Vietnam,2022,750
QLD,Indonesia,2022,290
QLD,Afghanistan,2022,960
QLD,South Africa,2022,1340
QLD,Iran,2022,370
QLD,Ireland,2022,20
QLD,Hong Kong,2022,1450
SA,India,2022,3790
SA,China,2022,1230
SA,New Zealand,2022,110
SA,Philippines,2022,760
SA,Nepal,2022,840
SA,Sri Lanka,2022,470
SA,Bangladesh,2022,130
SA,Pakistan,2022,380
SA,Vietnam,2022,740
SA,Indonesia,2022,160
SA,Afghanistan,2022,540
SA,South Africa,2022,370
SA,Iran,2022,250
SA,Ireland,2022,10
SA,Hong Kong,2022,830
WA,India,2022,2220
WA,China,2022,290
WA,New Zealand,2022,920
WA,Philippines,2022,2070
WA,Nepal,2022,600
WA,Sri Lanka,2022,410
WA,Bangladesh,2022,120
WA,Pakistan,2022,530
WA,Vietnam,2022,440
WA,Indonesia,2022,400
WA,Afghanistan,2022,300
WA,South Africa,2022,1060
WA,Iran,2022,160
WA,Ireland,2022,100
WA,Hong Kong,2022,500
TAS,India,2022,560
TAS,China,2022,230
TAS,New Zealand,2022,50
TAS,Philippines,2022,80
TAS,Nepal,2022,250
TAS,Sri Lanka,2022,70
TAS,Bangladesh,2022,50
TAS,Pakistan,2022,140
TAS,Vietnam,2022,90
TAS,Indonesia,2022,40
TAS,Afghanistan,2022,40
TAS,South Africa,2022,70
TAS,Iran,2022,40
TAS,Ireland,2022,10
TAS,Hong Kong,2022,110
NT,India,2022,320
NT,China,2022,80
NT,New Zealand,2022,-20
NT,Philippines,2022,200
NT,Nepal,2022,190
NT,Sri Lanka,2022,80
NT,Bangladesh,2022,70
NT,Pakistan,2022,100
NT,Vietnam,2022,180
NT,Indonesia,2022,40
NT,Afghanistan,2022,660
NT,South Africa,2022,80
NT,Iran,2022,30
NT,Ireland,2022,-10
NT,Hong Kong,2022,30
ACT,India,2022,720
ACT,China,2022,620
ACT,New Zealand,2022,-20
ACT,Philippines,2022,170
ACT,Nepal,2022,380
ACT,Sri Lanka,2022,110
ACT,Bangladesh,2022,50
ACT,Pakistan,2022,150
ACT,Vietnam,2022,100
ACT,Indonesia,2022,50
ACT,Afghanistan,2022,130
ACT,South Africa,2022,50
ACT,Iran,2022,70
ACT,Ireland,2022,-20
ACT,Hong Kong,2022,90
NSW,India,2021,-1650
NSW,China,2021,-16630
NSW,New Zealand,2021,1930
NSW,Philippines,2021,750
NSW,Nepal,2021,-1190
NSW,Sri Lanka,2021,350
NSW,Bangladesh,2021,-160
NSW,Pakistan,2021,80
NSW,Vietnam,2021,80
NSW,Indonesia,2021,-420
NSW,Afghanistan,2021,460
NSW,South Africa,2021,1450
NSW,Iran,2021,290
NSW,Ireland,2021,-400
NSW,Hong Kong,2021,1110
VIC,India,2021,-6390
VIC,China,2021,-21680
VIC,New Zealand,2021,-1760
VIC,Philippines,2021,-40
VIC,Nepal,2021,-460
VIC,Sri Lanka,2021,-960
VIC,Bangladesh,2021,-270
VIC,Pakistan,2021,-640
VIC,Vietnam,2021,-1200
VIC,Indonesia,2021,-1590
VIC,Afghanistan,2021,470
VIC,South Africa,2021,100
VIC,Iran,2021,170
VIC,Ireland,2021,-570
VIC,Hong Kong,2021,-70
QLD,India,2021,-1230
QLD,China,2021,-6030
QLD,New Zealand,2021,-1470
QLD,Philippines,2021,290
QLD,Nepal,2021,-140
QLD,Sri Lanka,2021,-70
QLD,Bangladesh,2021,-30
QLD,Pakistan,2021,-70
QLD,Vietnam,2021,-80
QLD,Indonesia,2021,-250
QLD,Afghanistan,2021,190
QLD,South Africa,2021,490
QLD,Iran,2021,70
QLD,Ireland,2021,-100
QLD,Hong Kong,2021,-30
SA,India,2021,-470
SA,China,2021,-2050
SA,New Zealand,2021,-30
SA,Philippines,2021,60
SA,Nepal,2021,-100
SA,Sri Lanka,2021,-60
SA,Bangladesh,2021,-30
SA,Pakistan,2021,20
SA,Vietnam,2021,-110
SA,Indonesia,2021,-130
SA,Afghanistan,2021,190
SA,South Africa,2021,90
SA,Iran,2021,30
SA,Ireland,2021,0
SA,Hong Kong,2021,-150
WA,India,2021,-660
WA,China,2021,-1750
WA,New Zealand,2021,-700
WA,Philippines,2021,10
WA,Nepal,2021,-80
WA,Sri Lanka,2021,-80
WA,Bangladesh,2021,-40
WA,Pakistan,2021,-60
WA,Vietnam,2021,-60
WA,Indonesia,2021,10
WA,Afghanistan,2021,140
WA,South Africa,2021,360
WA,Iran,2021,30
WA,Ireland,2021,-100
WA,Hong Kong,2021,-20
TAS,India,2021,-50
TAS,China,2021,-400
TAS,New Zealand,2021,-20
TAS,Philippines,2021,10
TAS,Nepal,2021,-20
TAS,Sri Lanka,2021,10
TAS,Bangladesh,2021,0
TAS,Pakistan,2021,-40
TAS,Vietnam,2021,-30
TAS,Indonesia,2021,-10
TAS,Afghanistan,2021,0
