State,Country,Year,Migrants
NSW,Nepal,2017,9600
NSW,Sri Lanka,2017,770
NSW,Bangladesh,2017,1730
NSW,Pakistan,2017,2860
NSW,Vietnam,2017,3180
NSW,Indonesia,2017,1720
NSW,Afghanistan,2017,630
NSW,South Africa,2017,1830
NSW,Iran,2017,970
NSW,Ireland,2017,340
NSW,Hong Kong,2017,910
VIC,India,2017,20520
VIC,China,2017,17850
VIC,New Zealand,2017,1790
VIC,Philippines,2017,3410
VIC,Nepal,2017,2440
VIC,Sri Lanka,2017,3530
VIC,Bangladesh,2017,580
VIC,Pakistan,2017,2470
VIC,Vietnam,2017,2920
VIC,Indonesia,2017,1110
VIC,Afghanistan,2017,1230
VIC,South Africa,2017,970
VIC,Iran,2017,1040
VIC,Ireland,2017,170
VIC,Hong Kong,2017,550
QLD,India,2017,4470
QLD,China,2017,6160
QLD,New Zealand,2017,660
QLD,Philippines,2017,2160
QLD,Nepal,2017,1160
QLD,Sri Lanka,2017,500
QLD,Bangladesh,2017,180
QLD,Pakistan,2017,470
QLD,Vietnam,2017,790
QLD,Indonesia,2017,350
QLD,Afghanistan,2017,310
QLD,South Africa,2017,1500
QLD,Iran,2017,380
QLD,Ireland,2017,-50
QLD,Hong Kong,2017,350
SA,India,2017,2630
SA,China,2017,2880
SA,New Zealand,2017,30
SA,Philippines,2017,620
SA,Nepal,2017,700
SA,Sri Lanka,2017,290
SA,Bangladesh,2017,180
SA,Pakistan,2017,470
SA,Vietnam,2017,520
SA,Indonesia,2017,-40
SA,Afghanistan,2017,400
SA,South Africa,2017,270
SA,Iran,2017,240
SA,Ireland,2017,-10
SA,Hong Kong,2017,80
WA,India,2017,3740
WA,China,2017,1520
WA,New Zealand,2017,-2040
WA,Philippines,2017,1870
WA,Nepal,2017,590
WA,Sri Lanka,2017,260
WA,Bangladesh,2017,120
WA,Pakistan,2017,520
WA,Vietnam,2017,550
WA,Indonesia,2017,430
WA,Afghanistan,2017,290
WA,South Africa,2017,850
WA,Iran,2017,230
WA,Ireland,2017,-820
WA,Hong Kong,2017,10
TAS,India,2017,230
TAS,China,2017,650
TAS,New Zealand,2017,10
TAS,Philippines,2017,70
TAS,Nepal,2017,140
TAS,Sri Lanka,2017,30
TAS,Bangladesh,2017,30
TAS,Pakistan,2017,40
TAS,Vietnam,2017,50
TAS,Indonesia,2017,20
TAS,Afghanistan,2017,90
TAS,South Africa,2017,30
TAS,Iran,2017,110
TAS,Ireland,2017,10
TAS,Hong Kong,2017,10
NT,India,2017,410
NT,China,2017,190
NT,New Zealand,2017,-70
NT,Philippines,2017,430
NT,Nepal,2017,200
NT,Sri Lanka,2017,60
NT,Bangladesh,2017,60
NT,Pakistan,2017,50
NT,Vietnam,2017,-20
NT,Indonesia,2017,170
NT,Afghanistan,2017,0
NT,South Africa,2017,70
NT,Iran,2017,0
NT,Ireland,2017,-80
NT,Hong Kong,2017,0
ACT,India,2017,710
ACT,China,2017,1510
ACT,New Zealand,2017,40
ACT,Philippines,2017,250
ACT,Nepal,2017,60
ACT,Sri Lanka,2017,70
ACT,Bangladesh,2017,60
ACT,Pakistan,2017,120
ACT,Vietnam,2017,130
ACT,Indonesia,2017,100
ACT,Afghanistan,2017,20
ACT,South Africa,2017,70
ACT,Iran,2017,30
ACT,Ireland,2017,10
ACT,Hong Kong,2017,50
NSW,India,2016,13750
NSW,China,2016,17420
NSW,New Zealand,2016,1700
NSW,Philippines,2016,4160
NSW,Nepal,2016,4970
NSW,Sri Lanka,2016,680
NSW,Bangladesh,2016,1790
NSW,Pakistan,2016,2710
NSW,Vietnam,2016,2980
NSW,Indonesia,2016,1240
NSW,Afghanistan,2016,630
NSW,South Africa,2016,1230
NSW,Iran,2016,780
NSW,Ireland,2016,-460
NSW,Hong Kong,2016,650
VIC,India,2016,15140
VIC,China,2016,16460
VIC,New Zealand,2016,2050
VIC,Philippines,2016,3170
VIC,Nepal,2016,1140
VIC,Sri Lanka,2016,2460
VIC,Bangladesh,2016,550
VIC,Pakistan,2016,2300
VIC,Vietnam,2016,2910
VIC,Indonesia,2016,740
VIC,Afghanistan,2016,1160
VIC,South Africa,2016,770
VIC,Iran,2016,770
VIC,Ireland,2016,-160
VIC,Hong Kong,2016,540
QLD,India,2016,4170
QLD,China,2016,5160
QLD,New Zealand,2016,-50
QLD,Philippines,2016,2030
QLD,Nepal,2016,750
QLD,Sri Lanka,2016,420
QLD,Bangladesh,2016,160
QLD,Pakistan,2016,520
QLD,Vietnam,2016,600
QLD,Indonesia,2016,310
QLD,Afghanistan,2016,220
QLD,South Africa,2016,1040
QLD,Iran,2016,270
QLD,Ireland,2016,-300
QLD,Hong Kong,2016,320
SA,India,2016,2560
SA,China,2016,2920
SA,New Zealand,2016,-20
SA,Philippines,2016,710
SA,Nepal,2016,350
SA,Sri Lanka,2016,220
SA,Bangladesh,2016,100
SA,Pakistan,2016,350
SA,Vietnam,2016,540
SA,Indonesia,2016,30
SA,Afghanistan,2016,430
SA,South Africa,2016,170
SA,Iran,2016,220
SA,Ireland,2016,-50
SA,Hong Kong,2016,170
WA,India,2016,4040
WA,China,2016,1650
WA,New Zealand,2016,-2180
WA,Philippines,2016,2160
WA,Nepal,2016,430
WA,Sri Lanka,2016,240
WA,Bangladesh,2016,120
WA,Pakistan,2016,590
WA,Vietnam,2016,630
WA,Indonesia,2016,360
WA,Afghanistan,2016,220
WA,South Africa,2016,760
WA,Iran,2016,300
WA,Ireland,2016,-1170
WA,Hong Kong,2016,110
TAS,India,2016,170
TAS,China,2016,410
TAS,New Zealand,2016,-10
TAS,Philippines,2016,90
TAS,Nepal,2016,70
TAS,Sri Lanka,2016,40
TAS,Bangladesh,2016,30
TAS,Pakistan,2016,90
TAS,Vietnam,2016,50
TAS,Indonesia,2016,10
TAS,Afghanistan,2016,80
TAS,South Africa,2016,20
TAS,Iran,2016,100
TAS,Ireland,2016,0
TAS,Hong Kong,2016,0
NT,India,2016,360
NT,China,2016,120
NT,New Zealand,2016,-90
NT,Philippines,2016,440
NT,Nepal,2016,220
NT,Sri Lanka,2016,60
NT,Bangladesh,2016,60
NT,Pakistan,2016,40
NT,Vietnam,2016,30
NT,Indonesia,2016,110
NT,Afghanistan,2016,0
NT,South Africa,2016,40
NT,Iran,2016,0
NT,Ireland,2016,-70
NT,Hong Kong,2016,-10
ACT,India,2016,670
ACT,China,2016,1340
ACT,New Zealand,2016,60
ACT,Philippines,2016,240
ACT,Nepal,2016,40
ACT,Sri Lanka,2016,80
ACT,Bangladesh,2016,20
ACT,Pakistan,2016,120
ACT,Vietnam,2016,80
ACT,Indonesia,2016,30
ACT,Afghanistan,2016,30
ACT,South Africa,2016,60
ACT,Iran,2016,30
ACT,Ireland,2016,-30
ACT,Hong Kong,2016,40
NSW,India,2015,12400
NSW,China,2015,14880
NSW,New Zealand,2015,800
NSW,Philippines,2015,3660
NSW,Nepal,2015,3740
NSW,Sri Lanka,2015,670
NSW,Bangladesh,2015,1580
NSW,Pakistan,2015,2960
NSW,Vietnam,2015,2770
NSW,Indonesia,2015,1390
NSW,Afghanistan,2015,590
NSW,South Africa,2015,850
NSW,Iran,2015,710
NSW,Ireland,2015,-780
NSW,Hong Kong,2015,600
VIC,India,2015,13490
VIC,China,2015,13990
VIC,New Zealand,2015,1630
VIC,Philippines,2015,2710
VIC,Nepal,2015,1110
VIC,Sri Lanka,2015,2300
VIC,Bangladesh,2015,530
VIC,Pakistan,2015,2390
VIC,Vietnam,2015,2700
VIC,Indonesia,2015,390
VIC,Afghanistan,2015,1140
VIC,South Africa,2015,650
VIC,Iran,2015,760
VIC,Ireland,2015,-510
VIC,Hong Kong,2015,510
QLD,India,2015,4780
QLD,China,2015,4190
QLD,New Zealand,2015,-240
QLD,Philippines,2015,2150
QLD,Nepal,2015,520
QLD,Sri Lanka,2015,350
QLD,Bangladesh,2015,170
QLD,Pakistan,2015,500
QLD,Vietnam,2015,740
QLD,Indonesia,2015,170
QLD,Afghanistan,2015,290
QLD,South Africa,2015,800
QLD,Iran,2015,270
QLD,Ireland,2015,-620
QLD,Hong Kong,2015,360
SA,India,2015,2490
SA,China,2015,2760
SA,New Zealand,2015,-60
SA,Philippines,2015,800
SA,Nepal,2015,250
SA,Sri Lanka,2015,240
SA,Bangladesh,2015,250
SA,Pakistan,2015,480
SA,Vietnam,2015,420
SA,Indonesia,2015,130
SA,Afghanistan,2015,480
SA,South Africa,2015,170
SA,Iran,2015,300
SA,Ireland,2015,-30
SA,Hong Kong,2015,170
WA,India,2015,3610
WA,China,2015,1780
WA,New Zealand,2015,-1160
WA,Philippines,2015,2250
WA,Nepal,2015,300
WA,Sri Lanka,2015,370
WA,Bangladesh,2015,230
WA,Pakistan,2015,610
WA,Vietnam,2015,530
WA,Indonesia,2015,280
WA,Afghanistan,2015,290
WA,South Africa,2015,850
WA,Iran,2015,390
WA,Ireland,2015,-1140
WA,Hong Kong,2015,130
TAS,India,2015,340
TAS,China,2015,280
TAS,New Zealand,2015,-20
TAS,Philippines,2015,70
TAS,Nepal,2015,240
TAS,Sri Lanka,2015,20
TAS,Bangladesh,2015,20
TAS,Pakistan,2015,40
TAS,Vietnam,2015,50
TAS,Indonesia,2015,30
TAS,Afghanistan,2015,90
TAS,South Africa,2015,20
TAS,Iran,2015,120
TAS,Ireland,2015,0
TAS,Hong Kong,2015,20
NT,India,2015,370
NT,China,2015,60
NT,New Zealand,2015,-50
NT,Philippines,2015,490
NT,Nepal,2015,170
NT,Sri Lanka,2015,80
NT,Bangladesh,2015,70
NT,Pakistan,2015,40
NT,Vietnam,2015,50
NT,Indonesia,2015,50
NT,Afghanistan,2015,0
NT,South Africa,2015,40
NT,Iran,2015,40
NT,Ireland,2015,-120
NT,Hong Kong,2015,-10
ACT,India,2015,920
ACT,China,2015,1160
ACT,New Zealand,2015,40
ACT,Philippines,2015,300
ACT,Nepal,2015,80
ACT,Sri Lanka,2015,90
ACT,Bangladesh,2015,50
ACT,Pakistan,2015,210
ACT,Vietnam,2015,60
ACT,Indonesia,2015,70
ACT,Afghanistan,2015,30
ACT,South Africa,2015,90
ACT,Iran,2015,30
ACT,Ireland,2015,-50
ACT,Hong Kong,2015,50
